,Amygdala,Angular Gyrus,Anterior Cingulate Cortex,Auditory Cortex,Frontal Medial Cortex,Frontal Pole,Globus Pallidus,Habenula,Hippocampus,Hypothalamus,Insula,Middle Frontal Gyrus,Nucleus Accumbens,Orbitofrontal Cortex,Parietal Cortex (SPL),Posterior Cingulate Cortex,Precuneous Cortex,Primary Motor Cortex,Somatosensory Cortex,Striatum (Caudate),Striatum (Putamen),Substantia Nigra,Subthalamic Nucleus,Temporal Pole,Thalamus,Ventral Pallidum,Ventral Tegmental Area,Visual Cortex (V1)
Amygdala,1.0,0.016873699656024747,-0.010574749092033998,0.099081047404088,0.14783972819745939,-0.019430630397047448,0.008376446973636912,-0.10305299142736817,0.35785234697458945,0.1377522228153753,0.22506045843284847,-0.02511206370990183,0.17090767748485525,0.1587411770605805,0.21329698038089076,-0.12747670870142291,-0.1144953351353458,0.2545215340764715,0.18890790344889344,0.09442961152204687,0.3104262912223612,0.03994359139195978,0.0069057764610468255,0.5009617935099916,0.2261993074421489,0.13178953722010342,0.10288364659552754,0.036804964218454264
Angular Gyrus,0.016873699656024747,1.0,0.07402773213862701,0.12187689645700933,0.2815180142436437,0.5072024800481524,0.02436672441052061,-0.02100232762618472,0.16678882968243092,0.08950177613093203,-0.09580070241939811,0.5190532818288435,0.061219082173741536,0.2543464282695932,0.00068406000406969,0.3973224466462942,0.49447651239478047,-0.008388013075434912,0.015725134142602053,0.07250762875129778,0.026676735075134073,-0.03308881336651364,0.05919617443600083,0.31586104881605476,0.05937798969725936,0.020675002115562138,0.03538588473099549,-0.03482358622646265
Anterior Cingulate Cortex,-0.010574749092033993,0.07402773213862701,1.0,0.2693680575113143,0.10053976476619804,0.3955359447459836,0.10922712079938657,0.03734045190286613,0.1734330715703726,0.16364957097222774,0.5019410819632733,0.025546967274856818,0.214864712849413,0.3808413068885836,-0.01565983507500525,0.2889397550692432,0.010816632207697038,0.18387654774405224,0.20070953931554614,0.2128237797628138,0.2497468823183613,0.06560872867213056,0.15405079918754866,0.10083392785309173,0.13489846449666085,0.03226764375486364,0.037767163978104805,-0.12591191419196215
Auditory Cortex,0.09908104740408799,0.12187689645700933,0.2693680575113143,1.0,0.07438255664717836,0.15166298531888575,0.09517413988789211,0.07033341086676959,0.20446557729757903,0.08248980761050939,0.43489304462791956,0.052989449297159236,0.033899003430318195,0.14275602259186687,0.06712809522589293,0.00865129428433803,0.057685409830973845,0.39681109602923564,0.43456140762146106,0.0888508536549059,0.31271930311215107,0.0932534664416226,0.15284764078319082,0.2585782253672185,0.23331416247989842,0.03477165796294015,0.0548890903352995,-0.027894489906505643
Frontal Medial Cortex,0.14783972819745939,0.28151801424364375,0.10053976476619804,0.07438255664717836,1.0,0.3607718247459091,-0.04385604835743862,0.004176119144557995,0.3626642542678956,0.21175928073366687,-0.12823723503063184,0.16630396233260922,0.26476852604313456,0.37800543580122414,-0.11536446533957079,0.36517076953153615,0.23801544874004116,-0.006966269023862518,0.06695692025701075,0.009509456505396887,0.04304231599126647,-0.08250169477385913,0.08312668241296933,0.25818701304554637,-0.07197584526147109,0.05044159526363593,0.049504054971522674,-0.1795792940752578
Frontal Pole,-0.019430630397047448,0.5072024800481524,0.3955359447459836,0.15166298531888575,0.3607718247459091,1.0,0.03386702753784529,0.03136380213365666,0.13053974338340976,0.1760072125808899,0.12197883187485695,0.49973331158895995,0.1926204203832666,0.49923683440621985,0.035292640787629725,0.42441790510673333,0.24136954822766152,0.07015705269459496,0.065818976668332,0.1877908457282892,0.10042323754276113,-0.039205534736194154,0.10881731700253,0.17830509307094722,0.009490448602870008,0.020557556649644756,0.014212651220861143,-0.15267716179310453
Globus Pallidus,0.008376446973636912,0.02436672441052061,0.10922712079938655,0.09517413988789211,-0.04385604835743862,0.03386702753784529,1.0,0.04019314759337265,-0.0070868727078132856,0.027204127992751407,0.16014174507280254,0.032623060113727925,-0.032498983107865115,0.04968270671129811,0.031759800223952916,0.01993674609596619,0.05828480807786686,0.02838094672380773,0.027446986200445986,0.07920941757268068,-0.035723224390705376,0.1401700249473016,0.023736184742702383,0.08716286967267663,0.2040707365282766,0.04214973024026601,0.10102028337609704,-0.011838036681396043
Habenula,-0.10305299142736817,-0.02100232762618471,0.03734045190286612,0.07033341086676959,0.004176119144557995,0.03136380213365666,0.04019314759337265,1.0,0.030484607381166515,0.10906280035798618,0.05324331080252206,-0.03727664702801302,0.018227353352191843,0.0009536510073933918,-0.08768654388862819,0.08716861997021803,0.04037647575268179,-0.03115494007012719,-0.026159084556682484,-0.10081319859486886,-0.010197578832527348,0.035824236904429325,-0.006409591330456524,-0.036278677977293505,-0.0911041605713011,-0.009988924685102672,-0.009628113204310975,-0.07337381335354277
Hippocampus,0.35785234697458945,0.16678882968243092,0.1734330715703726,0.20446557729757903,0.3626642542678956,0.13053974338340976,-0.0070868727078132856,0.030484607381166526,1.0,0.17751626223175043,0.13221983677026786,0.055006948216740695,0.17805821363746377,0.19426667010139206,0.013632584172475598,0.21920341256452516,0.10433415178344504,0.11791281012023629,0.1774743632877212,-0.0322132787155107,0.1224195601179824,0.004441721692047,0.04636567959017838,0.31571647452261775,0.1163608932621017,0.10316123600101444,0.10963860943759532,-0.12880879251286115
Hypothalamus,0.1377522228153753,0.08950177613093203,0.16364957097222774,0.08248980761050939,0.21175928073366684,0.17600721258088992,0.0272041279927514,0.10906280035798618,0.17751626223175043,1.0,0.12418689357536457,0.041270715176811947,0.28035900436701877,0.18203659591050927,0.06384105435110056,0.13196277211813073,0.08403365733241516,0.032609381312312107,0.041952097510851175,0.0771324245391446,0.12095344541792323,0.05986740421004359,0.09352429063710577,0.20085494678003227,0.05693893130212351,0.04329954928627564,0.10196160771715343,-0.06833181492101775
Insula,0.22506045843284847,-0.09580070241939811,0.5019410819632733,0.4348930446279195,-0.12823723503063184,0.12197883187485695,0.16014174507280254,0.05324331080252206,0.13221983677026786,0.12418689357536457,1.0,-0.06486451906617627,0.14246726053794473,0.3244773460962305,0.21377702583630764,-0.1206815879692377,-0.2358752024286758,0.4279876028653559,0.35740560422856893,0.19952530236062824,0.4172598569524071,0.15022669727458624,0.11565087429473096,0.26302176118084963,0.29638421651341434,0.10175957971054829,0.08967666890100166,-0.04851108497234963
Middle Frontal Gyrus,-0.02511206370990183,0.5190532818288435,0.025546967274856832,0.052989449297159236,0.1663039623326092,0.49973331158895995,0.032623060113727925,-0.037276647028013005,0.055006948216740695,0.041270715176811947,-0.06486451906617627,1.0,0.005388566882643602,0.209573233139259,0.16245146111642217,0.21198532140983803,0.28512430919668824,0.1296318199081925,0.03336632014991724,0.18492775651139212,0.027354540751695324,0.023305113443312254,0.12874641251330507,0.15306783669156462,0.11967841077472625,-0.0002322708550175205,0.005453070425912849,-0.012387123998757096
Nucleus Accumbens,0.17090767748485525,0.06121908217374152,0.21486471284941303,0.0338990034303182,0.26476852604313456,0.1926204203832666,-0.032498983107865115,0.018227353352191843,0.17805821363746377,0.28035900436701877,0.14246726053794473,0.005388566882643604,1.0,0.3101156328438461,0.056699165441227904,0.10861207138425615,0.060169311063642705,0.1088566171255106,0.05552138355755566,0.17493586185835427,0.17183694063276886,0.04134371157231273,0.10567311652853642,0.16898085259985193,0.14597587823332273,0.10581817792163185,0.08112899853905038,-0.07930652881706214
Orbitofrontal Cortex,0.1587411770605805,0.2543464282695932,0.38084130688858364,0.14275602259186687,0.37800543580122414,0.4992368344062198,0.04968270671129811,0.0009536510073933918,0.19426667010139206,0.18203659591050927,0.3244773460962305,0.20957323313925902,0.310115632843846,1.0,-0.006122795784375176,0.19007379306079197,-0.046196412897946494,0.12177138696730457,0.08098524879621229,0.2694669671110348,0.21311460884046254,0.08941054883993291,0.16003543001792375,0.31691283953364496,0.16204815539758666,0.1098730654089689,0.023668656116792666,-0.05276021721963137
Parietal Cortex (SPL),0.21329698038089076,0.0006840600040696974,-0.01565983507500525,0.06712809522589293,-0.11536446533957079,0.03529264078762972,0.0317598002239529,-0.08768654388862819,0.013632584172475598,0.06384105435110055,0.21377702583630764,0.16245146111642217,0.0566991654412279,-0.006122795784375173,1.0,-0.1808341659674213,-0.040167970669298385,0.4343174784265236,0.4182137642575417,0.011818103955329333,0.09089275473472296,0.03872518411237976,0.0722557953274715,0.1848644407112709,0.2735644147246062,-0.07683280109205974,-0.02774995298756397,0.024994476078272855
Posterior Cingulate Cortex,-0.12747670870142291,0.3973224466462942,0.2889397550692432,0.008651294284338026,0.36517076953153615,0.42441790510673333,0.01993674609596619,0.08716861997021805,0.21920341256452516,0.13196277211813073,-0.1206815879692377,0.21198532140983803,0.10861207138425615,0.19007379306079197,-0.1808341659674213,1.0,0.5145971512265893,-0.17281017948461636,-0.05719734633600968,-0.10777490939501343,-0.05320205540664402,-0.023404481590087234,0.056933468599898014,-0.005784760153428861,-0.16540307348373287,0.002786833894932116,0.0258849977744134,-0.15450151689579658
Precuneous Cortex,-0.11449533513534575,0.49447651239478047,0.010816632207697041,0.057685409830973845,0.23801544874004119,0.24136954822766152,0.05828480807786686,0.04037647575268179,0.10433415178344504,0.08403365733241516,-0.2358752024286758,0.28512430919668824,0.060169311063642705,-0.04619641289794648,-0.040167970669298385,0.5145971512265893,1.0,-0.12458041183347823,-0.04522338446075325,-0.15188363625232687,-0.06126840090594043,-0.0530815390885703,0.05696439750817131,0.10836477877168602,-0.08046998760563986,0.004739941582553893,0.02376428439962161,0.11262307329230437
Primary Motor Cortex,0.2545215340764715,-0.008388013075434915,0.18387654774405227,0.39681109602923564,-0.006966269023862521,0.07015705269459495,0.02838094672380773,-0.03115494007012719,0.11791281012023629,0.032609381312312107,0.4279876028653559,0.1296318199081925,0.10885661712551059,0.12177138696730457,0.4343174784265236,-0.17281017948461636,-0.12458041183347823,1.0,0.7008011256228246,0.1340220913459672,0.35799484708988233,0.03739007051028761,0.09191400765329444,0.26672588416616805,0.3110206906789199,0.007463350040500904,0.04233193546362018,0.04752843541506758
Somatosensory Cortex,0.18890790344889344,0.015725134142602053,0.20070953931554614,0.43456140762146106,0.06695692025701076,0.065818976668332,0.027446986200445993,-0.026159084556682477,0.17747436328772126,0.041952097510851175,0.35740560422856893,0.03336632014991724,0.055521383557555655,0.08098524879621229,0.4182137642575417,-0.05719734633600968,-0.045223384460753246,0.7008011256228246,1.0,0.0026788402275127296,0.23612000791328253,0.009855998479915933,0.042895573401347885,0.21478651574568902,0.2116779226210925,-0.04500678927432311,0.04067461562352386,-0.03502301001768601
Striatum (Caudate),0.09442961152204687,0.0725076287512978,0.2128237797628138,0.0888508536549059,0.009509456505396882,0.1877908457282892,0.07920941757268068,-0.10081319859486884,-0.0322132787155107,0.0771324245391446,0.19952530236062824,0.18492775651139212,0.1749358618583543,0.2694669671110348,0.011818103955329333,-0.10777490939501343,-0.15188363625232687,0.1340220913459672,0.0026788402275127296,1.0,0.40274902274690255,0.1908931853466426,0.10078355478191615,0.11806900414975359,0.407233345399284,0.061059692223158775,0.07763392623016692,-0.004476717021569893
Striatum (Putamen),0.3104262912223612,0.026676735075134073,0.2497468823183613,0.31271930311215107,0.04304231599126647,0.10042323754276113,-0.03572322439070538,-0.010197578832527348,0.1224195601179824,0.12095344541792323,0.4172598569524071,0.027354540751695324,0.1718369406327689,0.21311460884046254,0.09089275473472296,-0.05320205540664402,-0.06126840090594043,0.35799484708988233,0.23612000791328264,0.4027490227469025,1.0,0.13960390485996602,0.12431404656753173,0.296534227238635,0.3266865122132081,0.13319220099100018,0.12411321488840914,0.03603554453351056
Substantia Nigra,0.03994359139195978,-0.03308881336651364,0.06560872867213056,0.09325346644162259,-0.08250169477385912,-0.039205534736194154,0.1401700249473016,0.035824236904429325,0.0044417216920470005,0.05986740421004359,0.15022669727458624,0.02330511344331226,0.04134371157231273,0.08941054883993291,0.038725184112379754,-0.023404481590087234,-0.0530815390885703,0.0373900705102876,0.009855998479915933,0.1908931853466426,0.13960390485996607,1.0,0.07337336995561815,0.05197538917937595,0.23332629154672352,0.013056737643524543,0.09866521705678472,0.06814931952528996
Subthalamic Nucleus,0.0069057764610468125,0.05919617443600084,0.15405079918754866,0.15284764078319082,0.08312668241296933,0.10881731700253003,0.023736184742702383,-0.006409591330456526,0.04636567959017838,0.09352429063710577,0.11565087429473098,0.12874641251330507,0.10567311652853642,0.16003543001792375,0.0722557953274715,0.056933468599898014,0.05696439750817131,0.09191400765329444,0.042895573401347885,0.10078355478191615,0.12431404656753173,0.07337336995561815,1.0,0.08118584141983216,0.1468481761563019,-0.06348859101387891,0.031542201146116694,0.028367773728289226
Temporal Pole,0.5009617935099916,0.3158610488160548,0.10083392785309173,0.2585782253672185,0.25818701304554637,0.17830509307094725,0.08716286967267663,-0.03627867797729351,0.31571647452261775,0.20085494678003227,0.26302176118084963,0.15306783669156462,0.16898085259985193,0.31691283953364496,0.1848644407112709,-0.00578476015342886,0.10836477877168602,0.26672588416616805,0.21478651574568902,0.11806900414975359,0.296534227238635,0.05197538917937595,0.08118584141983215,1.0,0.2694158691172941,0.182135844945269,0.16913272154567222,0.06792192354461501
Thalamus,0.2261993074421489,0.05937798969725936,0.13489846449666085,0.23331416247989842,-0.07197584526147109,0.009490448602870008,0.2040707365282766,-0.09110416057130108,0.1163608932621017,0.056938931302123526,0.29638421651341434,0.11967841077472625,0.14597587823332273,0.16204815539758666,0.2735644147246062,-0.16540307348373287,-0.08046998760563986,0.3110206906789199,0.2116779226210925,0.407233345399284,0.3266865122132081,0.23332629154672352,0.1468481761563019,0.2694158691172941,1.0,0.10142313358835524,0.13524623572903205,0.03787693678653388
Ventral Pallidum,0.13178953722010342,0.020675002115562138,0.032267643754863636,0.03477165796294015,0.05044159526363592,0.020557556649644756,0.042149730240266005,-0.009988924685102672,0.10316123600101443,0.04329954928627564,0.10175957971054829,-0.00023227085501752976,0.10581817792163185,0.10987306540896892,-0.07683280109205974,0.0027868338949321087,0.004739941582553887,0.0074633500405008974,-0.0450067892743231,0.06105969222315879,0.13319220099100018,0.013056737643524543,-0.06348859101387891,0.182135844945269,0.10142313358835524,1.0,0.15317969124799385,-0.02091505662363533
Ventral Tegmental Area,0.10288364659552754,0.03538588473099548,0.03776716397810481,0.054889090335299505,0.049504054971522674,0.01421265122086115,0.10102028337609704,-0.009628113204310975,0.10963860943759532,0.10196160771715343,0.08967666890100166,0.0054530704259128475,0.08112899853905038,0.023668656116792666,-0.02774995298756397,0.0258849977744134,0.02376428439962161,0.04233193546362017,0.04067461562352386,0.0776339262301669,0.12411321488840914,0.09866521705678472,0.0315422011461167,0.16913272154567222,0.13524623572903205,0.1531796912479938,1.0,-0.0003792189232744633
Visual Cortex (V1),0.036804964218454264,-0.03482358622646265,-0.12591191419196213,-0.02789448990650564,-0.1795792940752578,-0.15267716179310453,-0.011838036681396047,-0.07337381335354277,-0.12880879251286115,-0.06833181492101774,-0.04851108497234963,-0.012387123998757093,-0.07930652881706214,-0.05276021721963137,0.02499447607827285,-0.15450151689579658,0.11262307329230437,0.04752843541506758,-0.03502301001768601,-0.004476717021569904,0.03603554453351056,0.06814931952528996,0.028367773728289223,0.06792192354461501,0.037876936786533894,-0.02091505662363533,-0.00037921892327446053,1.0
